"","female","Topic_study","parents","work","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_5","Q13_6","Q13_7","Q13_8"
"526",0,2,1,0,4,3,2,2,5,2,2,5,2,2
"527",0,2,0,1,4,2,4,1,1,2,2,2,4,3
"528",1,2,0,1,3,2,2,3,4,3,4,3,2,3
"529",0,2,1,1,2,3,3,2,2,3,4,4,4,4
"530",0,2,1,1,2,4,4,2,2,3,4,2,4,4
"531",0,2,0,1,5,4,4,4,1,4,4,4,5,4
"532",1,2,1,1,3,2,2,2,4,2,5,4,4,4
"533",1,2,0,1,3,2,2,1,3,1,4,4,4,4
"534",0,2,0,0,4,3,4,4,3,2,4,4,4,4
"535",0,2,1,1,5,1,3,2,2,4,2,4,3,4
